,1,6,24,96
SYMBOL:LIMK1,14.568,10.866,10.763,12.614
SYMBOL:LYN,15.248,14.507,14.12,11.294
SYMBOL:HDAC1,14.895,14.517000000000001,15.837,11.924000000000001
SYMBOL:ABL1,15.149000000000001,11.464,13.698,14.75
SYMBOL:PTK2B,13.894,11.049000000000001,11.151,12.704
SYMBOL:CALM1,12.407,9.852,9.736,11.139000000000001
SYMBOL:FCGR2B,12.931,10.715,10.802999999999999,12.892999999999999
SYMBOL:EIF4EBP1,13.264000000000001,13.057,14.295,11.425999999999998
SYMBOL:BRCA1,9.599,11.765999999999998,10.088,11.815
SYMBOL:CASP9,9.974,12.183,10.693,11.907
SYMBOL:MAP2K1,11.718,11.789000000000001,10.1,12.210999999999999
SYMBOL:PPP1R1B,9.787,11.804,9.961,10.296
SYMBOL:MAP2K1,13.113,11.452,11.198,11.59
SYMBOL:NF2,13.839,12.859000000000002,11.884,13.110999999999999
SYMBOL:RPS6KA5,9.526,10.833,9.801,11.205
SYMBOL:RPS6KA1,10.707,10.757,12.285,10.605
SYMBOL:APP,9.99,11.552,10.228,11.37
SYMBOL:MYC,9.783999999999999,11.502,10.199,10.04
SYMBOL:HNF4A,9.047,10.783,9.412,9.429
SYMBOL:SHC1,11.62,10.052,11.025,11.648
SYMBOL:PRKCD,12.216,10.787,10.689,10.707
SYMBOL:NFKB2,12.677,10.915,11.57,11.995999999999999
SYMBOL:JUNB,8.906,9.635,10.675,9.535
SYMBOL:CXCR4,9.827,10.334000000000001,11.504000000000001,10.255999999999998
SYMBOL:GABRB1,9.432,10.008,9.757,11.085999999999999
SYMBOL:PDPK1,10.982000000000001,9.892000000000001,9.827,11.184000000000001
SYMBOL:LCK,10.602,10.828,10.285,11.922
SYMBOL:IKBKG,13.647,12.241,13.413,12.574000000000002
SYMBOL:EIF4EBP1,9.656,10.321,11.243,10.133
SYMBOL:PPP2CA,9.477,9.857000000000001,9.731,10.902000000000001
SYMBOL:LIMK1,9.681000000000001,10.179,10.102,11.145999999999999
SYMBOL:MET,9.551,10.029,11.011,9.965
SYMBOL:SYK,10.21,10.789000000000001,10.262,11.495
SYMBOL:TH,9.181000000000001,9.633,9.385,10.52
SYMBOL:GSK3A,9.23,9.872,9.607000000000001,10.622
SYMBOL:GSK3A,9.892000000000001,10.265,9.982999999999999,11.174000000000001
SYMBOL:HDAC2,11.552,10.388,11.065,10.345
SYMBOL:PLCG1,9.922,10.329,11.200999999999999,10.265
SYMBOL:CAMK2A,10.664000000000001,10.579,10.732000000000001,11.729000000000001
SYMBOL:MAP2K2,9.792,10.131,10.897,10.822000000000001
SYMBOL:IL7R,12.022,11.216,11.389000000000001,10.735999999999999
SYMBOL:LYN,10.857999999999999,10.255,10.328,11.397
SYMBOL:STK4,9.892000000000001,10.270999999999999,10.07,11.09
SYMBOL:ALK,10.625,11.624,10.539000000000001,11.252
SYMBOL:PTK2B,10.872,11.538,11.993,11.919
SYMBOL:TEK,9.981,10.717,10.661,11.22
SYMBOL:NFKB2,9.644,9.898,10.514000000000001,10.705
SYMBOL:XIAP,9.287,10.337,10.033,10.354000000000001
SYMBOL:EIF4EBP1,10.047,10.629000000000001,11.241,10.443
SYMBOL:RELA,11.742,12.014000000000001,11.284,10.905999999999999
SYMBOL:BAD,9.862,10.312999999999999,10.03,10.975
SYMBOL:MTOR,9.641,10.81,10.026,10.042
SYMBOL:PRKCE,11.509,10.623,10.374,10.732999999999999
SYMBOL:MAPKAPK2,10.036,10.898,11.102,10.356
SYMBOL:BLNK,12.675,12.189,13.300999999999998,12.383
SYMBOL:ERBB2,9.594,10.277000000000001,10.009,10.74
SYMBOL:MED1,10.036,10.908,10.079,10.843
SYMBOL:MYL9,12.264000000000001,11.202,11.558,11.353
SYMBOL:YWHAZ,11.214,10.332,10.343,11.075
SYMBOL:JUNB,10.113999999999999,10.376,11.144,10.208
SYMBOL:ACTA1,10.894,10.306,10.989,11.445
